kill_count,title,year
305,Inglourious Basterds,2009
98,Kill Bill: Vol. 1,2003
74,The Hateful Eight,2015
53,Django Unchained,2012
15,Pulp Fiction,1994
11,Reservoir Dogs,1992
6,Death Proof,2007
5,Kill Bill: Vol. 2,2004
4,Jackie Brown,1997
4,Once Upon a Time... in Hollywood,2019
