Movie,Who Died,Description,Gender
Inglourious Basterds (2009),Unnamed American Soldier #38,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #39,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #40,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #41,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #42,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #43,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #44,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #45,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #46,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #47,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #48,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #49,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #50,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #51,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #52,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #53,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #54,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #55,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #56,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #57,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #58,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #59,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #60,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #61,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #62,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #63,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #64,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #65,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #66,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #67,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #68,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #69,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #70,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #71,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #72,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #73,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #74,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #75,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #76,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #77,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #78,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #79,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #80,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #81,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #82,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #83,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #84,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #85,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #86,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #87,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #88,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #89,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #90,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #91,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #92,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #93,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #94,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #95,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #96,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #97,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #98,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #99,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #100,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #101,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #102,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #103,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #104,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #105,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #106,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #107,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #108,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #109,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #110,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #111,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #112,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #113,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #114,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #115,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #116,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #117,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #118,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #119,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #120,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #121,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #122,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #123,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #124,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #125,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #126,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #127,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #128,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #129,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #130,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #131,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #132,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #133,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #134,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #135,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #136,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #137,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #138,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #139,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #140,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #141,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #142,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #143,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #144,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #145,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #146,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #147,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #148,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #149,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #150,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #151,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #152,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #153,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #154,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #155,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #156,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #157,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #158,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #159,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #160,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #161,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #162,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #163,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #164,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #165,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #166,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #167,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #168,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #169,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #170,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #171,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #172,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #173,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #174,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #175,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #176,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #177,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #178,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #179,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #180,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #181,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #182,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #183,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #184,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #185,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #186,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #187,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #188,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #189,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #190,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #191,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #192,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #193,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #194,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #195,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #196,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #197,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #198,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #199,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #200,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #201,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #202,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #203,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #204,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #205,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #206,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #207,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #208,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #209,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #210,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #211,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #212,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #213,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #214,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #215,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #216,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #217,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #218,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #219,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #220,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #221,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #222,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #223,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #224,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #225,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #226,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #227,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #228,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #229,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #230,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #231,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #232,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #233,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #234,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #235,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #236,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #237,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #238,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #239,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
