Movie,Who Died,Description,Gender
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #25,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #26,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #27,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #28,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #29,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #30,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #31,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #32,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #33,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #34,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #35,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #36,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #37,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
