Movie,Who Died,Description,Gender
Once Upon a Time... in Hollywood (2019),Billie Booth,"Killed by Cliff Booth off-screen, implied.",Male
Once Upon a Time... in Hollywood (2019),"Charles Denton ""Tex"" Watson Jr.",Head stomped on by Cliff Booth after being mauled by Brandy. Shared kill. (Fictional Portrayal),Male
Once Upon a Time... in Hollywood (2019),"Patricia Dianne ""Katie"" Krenwinkel",Head smashed against several walls by Cliff Booth. (Fictional Portrayal),Female
Once Upon a Time... in Hollywood (2019),"Susan Denise ""Sadie"" Atkins",Incinerated by Rick Dalton with a flamethrower. (Fictional Portrayal),Female
