Movie,Who Died,Description,Gender
The Hateful Eight (2015),Oswaldo Mobray,Killed by Pete Hicox off-screen.,Male
The Hateful Eight (2015),Minnie Mink,Shot in the head by Jody Domergue.,Female
The Hateful Eight (2015),Ed,Shot in the head by Jody Domergue.,Male
The Hateful Eight (2015),Sweet Dave,Stabbed to death by Marco the Mexican.,Male
The Hateful Eight (2015),Gemma,Shot in the stomach by Pete Hicox.,Female
The Hateful Eight (2015),Six Horse Judy,Shot in the chest by Grouch Douglas.,Female
The Hateful Eight (2015),Charly,Shot in the head by Grouch Douglas.,Male
The Hateful Eight (2015),Total,58,Unknown
The Hateful Eight (2015),Unnamed Union Soldiers ,"Killed by Major Marquis Warren off-screen, bodies shown.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Killed by Major Marquis Warren off-screen, bodies shown.",Male
The Hateful Eight (2015),Unnamed Union Soldiers ,"Killed by Major Marquis Warren off-screen, bodies shown.",Male
The Hateful Eight (2015),Major Marquis Warren's Horse,"Died of natural causes off-screen, mentioned.",Unknown
The Hateful Eight (2015),Chris Mannix's Horse,"Accidentally broke its leg in a gopher hole off-screen and mercifully put down by Chris Mannix, mentioned.",Unknown
The Hateful Eight (2015),General Sanford Smithers,Shot in the chest by Marquis Warren.,Male
The Hateful Eight (2015),O.B.,Poisoned by Grouch Douglas.,Male
The Hateful Eight (2015),John Ruth/The Hangman,Shot in the chest by Daisy Domergue after being poisoned by Grouch Douglas.,Male
The Hateful Eight (2015),Marco the Mexican/Señor Bob,Shot in the head by Marquis Warren.,Male
The Hateful Eight (2015),Jody Domergue,Shot in the head by Marquis Warren.,Unknown
The Hateful Eight (2015),Grouch Douglas/Joe Gage,Shot in the chest by Chris Mannix and Marquis Warren.,Unknown
The Hateful Eight (2015),Pete Hicox/Oswaldo Mobray,"Shot in the chest by Chris Mannix and later in the leg by Marquis Warren, then bled to death in the background.",Male
The Hateful Eight (2015),Daisy Domergue,Hanged by both Chris Mannix and Marquis Warren with a noose.,Female
The Hateful Eight (2015),Sheriff Chris Mannix,Shot in the leg by Pete Hicox and eventually bleeds to death.,Male
The Hateful Eight (2015),Major Marquis Warren,Shot in the groin by Jody Domergue and eventually bleeds to death.,Unknown
